"ID"	"korra21"	"korra29"	"korra44"	"korra48"	"korra58"
"fpt1"	0	0	0	0	0.03
"fpt2"	0	0	0	0	0.01
"fpt3"	0	0	0	0	0.03
"fpt4"	0.01	0	0	0.03	0.06
"fpt5"	0.01	0	0	0.03	0.06
"fpt6"	0.01	0	0	0.03	0.06
"fpt7"	0.03	0	0.03	0	0.03
"fpt8"	31.7	42.31	38.44	35.19	50.94
"fpt9"	14.84	28.02	2.22	9.87	22.73
"fpt10"	0.01	0	0	0.03	0.07
"fpt11"	0.01	0	0.01	0	0
"fpt12"	0	0	0	0	0.03
"fpt13"	0.74	0.37	2.37	2.64	0.1
"fpt14"	0.01	0	0.01	0.01	0
"fpt15"	0.01	0	0	0.03	0.06
"fpt16"	0	0	0	0	0.03
"fpt17"	0.29	0.03	0.1	0.2	0.06
"fpt18"	0.01	0	0	0.03	0.06
"fpt19"	25.9	30.13	37.9	30.16	37.33
"fpt20"	0.11	0	0.14	0.03	0.01
"fpt21"	0.01	0	0	0.03	0.09
"fpt22"	0.01	0	0	0.03	0.09
"fpt23"	0.01	0	0.01	0.01	0
"fpt24"	0	0	0	0	0.03
"fpt25"	0.1	0	0.2	0.06	0.13
"fpt26"	5.9	12.14	0.4	4.89	13.64
"fpt27"	25.59	30.09	37.83	31.26	40.92
"fpt28"	18.2	28.96	6.79	18.39	12
"fpt29"	0.01	0	0	0.03	0.06
"fpt30"	1.73	0.41	2.13	1.67	0.3
"fpt31"	0.01	0	0	0.03	0.1
"fpt32"	0.01	0.01	0	0.03	0.06
"fpt33"	0	0	0	0	0.03
"fpt34"	26.16	30.16	38.03	31.65	41.02
"fpt35"	0.01	0	0	0.03	0.1
"fpt36"	0	0	0	0	0.03
"fpt37"	13.76	22.8	7.29	17.65	14.24
"fpt38"	18.96	29.33	9.19	22.3	15.66
"fpt39"	0	0	0.04	0.01	0.1
"fpt40"	0.3	0.04	0.14	0.13	0.07
"fpt41"	27.34	51.61	7.63	25.99	36.82
"fpt42"	0.01	0	0	0.03	0.06
"fpt43"	25.57	30.09	37.83	31.26	40.92
"fpt44"	0	0	0	0	0.03
"fpt45"	1.31	0.37	1.9	1.53	0.26
"fpt46"	0.01	0	0	0.03	0.09
"fpt47"	6.11	12.19	0.33	5.02	13.53
"fpt48"	0.01	0	0	0.03	0.06
"fpt49"	0.01	0	0	0.03	0.06
"fpt50"	0.1	0	0.13	0.03	0.01
