"Taxa"	"charles41"	"charles46"	"charles49"	"charles50"	"charles51"	"charles55"	"charles57"
"Metabolism|Global and overview maps|Metabolic pathways"	0.147216287231823	0.155574426341899	0.143877839235344	0.150642628195472	0.14842232458672	0.150590827355893	0.149947137874445
"Metabolism|Global and overview maps|Biosynthesis of secondary metabolites"	0.0605239169765127	0.0664159982417308	0.0600542624696838	0.0643321651773858	0.0629612283937132	0.0629295748740593	0.0639482902891835
"Metabolism|Global and overview maps|Biosynthesis of antibiotics"	0.0484694207994033	0.0517196723297375	0.0456263011074928	0.0509795173063796	0.0500284149217716	0.0514010528085112	0.05050933138752
"Metabolism|Global and overview maps|Microbial metabolism in diverse environments"	0.0448790641946803	0.0471782517352277	0.053261338091228	0.0530302903724832	0.0502971024677566	0.0507734820988227	0.0439365838893439
"Environmental Information Processing|Membrane transport|ABC transporters"	0.0317608492035442	0.0443266149915279	0.0580434460015683	0.0468873867079349	0.0502678331016726	0.0490031030521292	0.031356915925879
"Environmental Information Processing|Signal transduction|Two-component system"	0.0624149449868439	0.0324581726545465	0.0399634931768232	0.0350996922525595	0.0411618318965424	0.0363509370393623	0.0511261178792544
"Metabolism|Global and overview maps|Biosynthesis of amino acids"	0.0277150597371272	0.0321238795881571	0.0278731135848999	0.0309380041092587	0.0305638682713549	0.0315445234497778	0.029082897325175
"Metabolism|Global and overview maps|Carbon metabolism"	0.024691305554212	0.0265425817527705	0.0242580867263093	0.0264169452177118	0.0257187689397509	0.0261090839484832	0.0244740789368896
"Cellular Processes|Cellular community - prokaryotes|Quorum sensing"	0.0213540289812117	0.0214088740731639	0.0234190726761366	0.0217972488565194	0.0241408339280015	0.0212210527741483	0.0231149664815422
"Metabolism|Nucleotide metabolism|Purine metabolism"	0.0138634558993308	0.0172248508610267	0.0135856901511924	0.0150670884569154	0.0153469440561754	0.015812521337301	0.0159391631548691
"Metabolism|Carbohydrate metabolism|Amino sugar and nucleotide sugar metabolism"	0.0179891536611269	0.0145007745562704	0.0148920257962033	0.0147858391175101	0.0144597250500983	0.0157584861188619	0.0139782958489073
"Genetic Information Processing|Translation|Ribosome"	0.0116826619172455	0.015209325253811	0.00958979065987303	0.0119926478504211	0.0124801143870532	0.0132213114443785	0.0140290033108951
"Environmental Information Processing|Membrane transport|Phosphotransferase system (PTS)"	0.00576180452343298	0.0102997775908445	0.0218217172960137	0.0153865373612112	0.0127601418185117	0.014756653612695	0.00259267244757443
"Metabolism|Nucleotide metabolism|Pyrimidine metabolism"	0.0103538400533985	0.0137088677755766	0.0102266617981541	0.0113757689810366	0.0115402282859273	0.0119960031689297	0.0117001621092317
