"ID"	"SampleID"	"study_day"	"subject"	"Time"	"Rep"	"diet_name"	"total_mg"	"total_kcal"	"total_mg_dry"	"probiotic"	"fiber"	"steroid"	"antibiotic"	"antidiarrheal"	"bristol_mean"	"holding"	"pair_access"	"warb_status"	"keeper_note"	"Subj_Certainty"	"Sex"	"subject_age"	"CollectionDate"	"protein_fed"	"fat_fed"	"CHO_fed"	"mineral_fed"
"culi_1"	"culi_1"	1	"culi"	1	1	"baseline"	52000	90	29000	0	0	0	0	0	4	"old"	"y"	"estrus"	NA	"yes"	"M"	10	2023-10-26	5100	2000	2000	2000
"warble_1"	"warble_1"	1	"warble"	1	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"y"	"estrus"	NA	"yes"	"F"	6	2023-10-26	5100	2000	2000	2000
"culi_2"	"culi_2"	2	"culi"	2	1	"baseline"	52000	90	29000	0	0	0	0	0	4.5	"old"	"y"	"estrus"	NA	"yes"	"M"	10	2023-10-27	5100	2000	2000	2000
"warble_2"	"warble_2"	2	"warble"	2	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"y"	"estrus"	NA	"yes"	"F"	6	2023-10-27	5100	2000	2000	2000
"culi_3"	"culi_3"	3	"culi"	3	1	"baseline"	52000	90	29000	0	0	0	0	0	3	"old"	"y"	"estrus"	NA	"yes"	"M"	10	2023-10-28	5100	2000	2000	2000
"warble_3"	"warble_3"	3	"warble"	3	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"y"	"estrus"	NA	"yes"	"F"	6	2023-10-28	5100	2000	2000	2000
"culi_4"	"culi_4"	4	"culi"	4	1	"baseline"	52000	90	29000	0	0	0	0	0	3	"old"	"y"	"estrus"	NA	"yes"	"M"	10	2023-10-29	5100	2000	2000	2000
"warble_4"	"warble_4"	4	"warble"	4	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"y"	"estrus"	NA	"yes"	"F"	6	2023-10-29	5100	2000	2000	2000
"culi_6"	"culi_6"	6	"culi"	6	1	"baseline"	52000	90	29000	0	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-10-31	5100	2000	2000	2000
"warble_6"	"warble_6"	6	"warble"	6	1	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-10-31	5100	2000	2000	2000
