"Taxa"	"lambchop17"	"lambchop18"	"lambchop25"	"lambchop37"	"lambchop44"	"lambchop46"	"lambchop48"	"lambchop50"	"lambchop55"	"lambchop70"
"chemoheterotrophy"	0.129368485591662	0.170064903257409	0.233316733067729	0.271013689283125	0.276904474002418	0.244860557768924	0.312664665155321	0.266845958464067	0.180740740740741	0.15164750465669
"fermentation"	0.128772395939778	0.161921381337252	0.22503735059761	0.258817007121839	0.269830713422007	0.207569721115538	0.301268304638196	0.247721500074705	0.161407407407407	0.113366304836534
"anaerobic_chemoheterotrophy"	0.126439130730976	0.159227283859907	0.215637450199203	0.258817007121839	0.269649334945586	0.206613545816733	0.301207033882728	0.24652622142537	0.157703703703704	0.113302074635494
"animal_parasites_or_symbionts"	0.118843245452688	0.0951506245407788	0.14031374501992	0.0835856539724509	0.164449818621524	0.269003984063745	0.0616996507566938	0.186612879127447	0.398	0.478258076947781
"human_associated"	0.118809183186866	0.0949363213323537	0.0232818725099602	0.0304064139195701	0.00278113663845224	0.00788844621513944	0.00306353777342075	0.00694755714926042	0.0131111111111111	0.0266555334318196
"human_pathogens_all"	0.118809183186866	0.0935892725936811	0.0232818725099602	0.0254168621263167	0.00120918984280532	0.00310756972111554	0.0012254151093683	0.0049305244285074	0.00962962962962963	0.0249855482047659
"human_gut"	0.0678520335172696	0.0573720303698261	0.0155004980079681	0.0124525566122223	0.00217654171704958	0.00605577689243028	0.0024508302187366	0.00448229493500672	0.0111851851851852	0.0140664140278759
"mammal_gut"	0.0678520335172696	0.0573720303698261	0.0155004980079681	0.0124525566122223	0.00217654171704958	0.00605577689243028	0.0024508302187366	0.00448229493500672	0.0111851851851852	0.0140664140278759
"aerobic_chemoheterotrophy"	0.00292935486068533	0.0108376193975018	0.0176792828685259	0.0121966821612862	0.00725513905683192	0.0382470119521912	0.0114576312725936	0.0203197370386972	0.023037037037037	0.038345430021196
"nitrate_reduction"	0.0533074460113087	0.0414217487141808	0.0173680278884462	0.0182950232419293	0.000665054413542926	0.00215139442231076	0.000796519821089394	0.00194232780516958	0.00562962962962963	0.0126533496049843
"human_pathogens_gastroenteritis"	0.0530179167518223	0.039156257653686	0.0170567729083665	0.0146274894451789	0.000544135429262394	0.00167330677290837	0.000673978310152564	0.00156880322725235	0.00548148148148148	0.012011047594579
"nitrate_respiration"	0.00233326520880169	0.00401053147195689	0.00933764940239044	4.2645741822679e-05	0.000181378476420798	0.000876494023904383	6.12707554684149e-05	0.00119527864933513	0.0037037037037037	6.42302010405293e-05
"nitrogen_respiration"	0.00233326520880169	0.00401053147195689	0.00933764940239044	4.2645741822679e-05	0.000181378476420798	0.000876494023904383	6.12707554684149e-05	0.00119527864933513	0.0037037037037037	6.42302010405293e-05
"fumarate_respiration"	0.00233326520880169	0.00272471222140583	0.00933764940239044	4.2645741822679e-05	0.000181378476420798	0.000876494023904383	6.12707554684149e-05	0.00119527864933513	0.0037037037037037	6.42302010405293e-05
"human_pathogens_diarrhea"	0.00233326520880169	0.00272471222140583	0.00933764940239044	4.2645741822679e-05	0.000181378476420798	0.000876494023904383	6.12707554684149e-05	0.00119527864933513	0.0037037037037037	6.42302010405293e-05
"nitrite_ammonification"	0.00233326520880169	0.00272471222140583	0.00933764940239044	4.2645741822679e-05	0.000181378476420798	0.000876494023904383	6.12707554684149e-05	0.00119527864933513	0.0037037037037037	6.42302010405293e-05
"nitrite_respiration"	0.00233326520880169	0.00272471222140583	0.00933764940239044	4.2645741822679e-05	0.000181378476420798	0.000876494023904383	6.12707554684149e-05	0.00119527864933513	0.0037037037037037	6.42302010405293e-05
"xylanolysis"	0	0	0	0.000597040385517506	0.000665054413542926	0.00103585657370518	0.000183812266405245	0.000224114746750336	0.000444444444444444	0.000192690603121588
"cellulolysis"	0	0	0	0.000469103160049469	0.000423216444981862	0.00047808764940239	6.12707554684149e-05	0.000224114746750336	0.000222222222222222	6.42302010405293e-05
"reductive_acetogenesis"	0	0	0	0.000597040385517506	0.000181378476420798	0	0.000428895288278904	0	0	0
"chitinolysis"	0	3.06147440607397e-05	0	0	0	0	0	0	0	0
