"ID"	"study_day"	"subject"	"diet_name"	"total_mg"	"total_kcal"	"total_mg_dry"	"probiotic"	"fiber"	"steroid"	"antibiotic"	"antidiarrheal"	"bristol_mean"	"holding"	"pair_access"	"warb_status"	"keeper_note"	"Subj_Certainty"	"Sex"	"subject_age"	"CollectionDate"	"protein_fed"	"fat_fed"	"CHO_fed"	"mineral_fed"
"culi_1"	1	"culi"	"baseline"	52000	90	29000	0	0	0	0	0	4	"old"	"y"	"estrus"	NA	"yes"	"M"	10	2023-10-26	5100	2000	2000	2000
"warble_1"	1	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"y"	"estrus"	NA	"yes"	"F"	6	2023-10-26	5100	2000	2000	2000
"culi_2"	2	"culi"	"baseline"	52000	90	29000	0	0	0	0	0	4.5	"old"	"y"	"estrus"	NA	"yes"	"M"	10	2023-10-27	5100	2000	2000	2000
"warble_2"	2	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"y"	"estrus"	NA	"yes"	"F"	6	2023-10-27	5100	2000	2000	2000
"culi_3"	3	"culi"	"baseline"	52000	90	29000	0	0	0	0	0	3	"old"	"y"	"estrus"	NA	"yes"	"M"	10	2023-10-28	5100	2000	2000	2000
"warble_3"	3	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"y"	"estrus"	NA	"yes"	"F"	6	2023-10-28	5100	2000	2000	2000
"culi_4"	4	"culi"	"baseline"	52000	90	29000	0	0	0	0	0	3	"old"	"y"	"estrus"	NA	"yes"	"M"	10	2023-10-29	5100	2000	2000	2000
"warble_4"	4	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"y"	"estrus"	NA	"yes"	"F"	6	2023-10-29	5100	2000	2000	2000
"culi_6"	6	"culi"	"baseline"	52000	90	29000	0	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-10-31	5100	2000	2000	2000
"warble_6"	6	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-10-31	5100	2000	2000	2000
"culi_7"	7	"culi"	"baseline"	52000	90	29000	0	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-11-01	5100	2000	2000	2000
"warble_7"	7	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-11-01	5100	2000	2000	2000
"culi_8"	8	"culi"	"baseline"	52000	90	29000	5	0	0	0	0	4.5	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-11-02	5100	2000	2000	2000
"warble_9"	9	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-11-03	5100	2000	2000	2000
"culi_10"	10	"culi"	"baseline"	52000	90	29000	5	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-11-04	5100	2000	2000	2000
"warble_10"	10	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-11-04	5100	2000	2000	2000
"culi_11"	11	"culi"	"baseline"	52000	90	29000	5	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-11-05	5100	2000	2000	2000
"culi_12"	12	"culi"	"baseline"	52000	90	29000	5	0	0	0	0	4	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-11-06	5100	2000	2000	2000
"warble_12"	12	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	2023-11-06	5100	2000	2000	2000
