"Taxa"	"lambchop17"	"lambchop18"	"lambchop25"	"lambchop37"	"lambchop44"	"lambchop46"	"lambchop48"	"lambchop50"	"lambchop55"	"lambchop70"
"Metabolism|Global and overview maps"	0.36847660295552	0.384885511283211	0.400669265974624	0.376358331796781	0.39453695914609	0.390897460123676	0.395370457962253	0.396064785012019	0.392924722133082	0.383822268544226
"Metabolism|Carbohydrate metabolism"	0.122496953021899	0.114607094442794	0.106956811827877	0.108495363339027	0.105643340273748	0.102766497993043	0.108447161351603	0.105416288239525	0.102213587327209	0.0960934232955947
"Metabolism|Amino acid metabolism"	0.0579996593868149	0.0643614953224797	0.0665661528304692	0.0619433791716194	0.0653728330406372	0.0623150826345745	0.0680784707701836	0.0650543408390494	0.061392852835098	0.0580648307133827
"Environmental Information Processing|Membrane transport"	0.0834487040479883	0.0702589641798065	0.0596857313517522	0.0778158365093608	0.0633907301547162	0.0524039160815861	0.066835209102204	0.0588323675209257	0.0470391049327824	0.0414369606993247
"Metabolism|Energy metabolism"	0.037644583134006	0.0372056566320835	0.0380671583649401	0.0379025739043761	0.0390368946134196	0.0394276879440677	0.0373172721896376	0.0386118730231606	0.0409395732222767	0.042139293399004
"Cellular Processes|Cellular community - prokaryotes"	0.0418887239172796	0.0402082084368698	0.0350077901828719	0.0440418819067603	0.0362302104081961	0.0404461992075931	0.0378760378769947	0.0374496469225543	0.034396404663477	0.0391317701238202
"Metabolism|Metabolism of cofactors and vitamins"	0.036070604423865	0.037605069853055	0.0397624131924153	0.0339718046257236	0.0376821737899044	0.0395920192703531	0.0371360945362397	0.0390774736973751	0.0403118501760574	0.0395174551363603
"Environmental Information Processing|Signal transduction"	0.042302206372848	0.0395367497387186	0.0323639304796715	0.045455684864304	0.0345043552921897	0.0392496597971606	0.0369784966414953	0.0356408863019952	0.033670839574971	0.0381720522710011
"Metabolism|Nucleotide metabolism"	0.0258656067461851	0.0264091551021112	0.0306615155273639	0.0267546103929849	0.0307212920466182	0.0301957829518864	0.0279113809576836	0.030211903872884	0.0328663337155811	0.032991667346548
"Genetic Information Processing|Translation"	0.0144051158414053	0.0177960785742773	0.0242022218688402	0.0191933345782201	0.0241719936173721	0.0240594718046833	0.0213567823006841	0.0239336543394117	0.0262366538806688	0.0264929565240691
"Genetic Information Processing|Replication and repair"	0.0151633467703774	0.017289821324492	0.0216788702311601	0.0188725543586688	0.0224086014113289	0.0227472298278512	0.0196757604999081	0.0220519779747491	0.0253942533097502	0.0267894341638574
"Metabolism|Lipid metabolism"	0.0210738149218248	0.0199583288771409	0.0188997717952383	0.0196077441445813	0.0192050504840039	0.0203090379784372	0.0187347289479217	0.0193143071210994	0.0216750869174732	0.0228548405785458
"Metabolism|Glycan biosynthesis and metabolism"	0.0109210328697759	0.0118630166813528	0.0164868107002201	0.0132677039122867	0.0168335886439205	0.017356780296389	0.0138330865970658	0.0164195625506952	0.0204106662099022	0.0209626589101466
"Metabolism|Metabolism of other amino acids"	0.0148579042771192	0.0145277069002335	0.013098833291158	0.012906859560485	0.0127926459245691	0.0127669415507074	0.0134761011532005	0.012894085835716	0.0126131188729528	0.0125827184225933
"Genetic Information Processing|Folding, sorting and degradation"	0.0096317846222187	0.0110984175882171	0.0126539225558734	0.0112720112618277	0.0124555016180521	0.013544192470081	0.0117959324169974	0.012874677419514	0.0140246357980558	0.0148848519765505
