flow_cell_id,experiment_id,kit,barcode,alias
FAX08980,PL2,SQK-16S024,barcode03,JAR-2-DRS-S3
FAX08980,PL2,SQK-16S024,barcode04,JAR-2-MGE-S4
FAX08980,PL2,SQK-16S024,barcode16,LAM-2-DRS-S16
FAX08980,PL2,SQK-16S024,barcode17,LAM-2-MGE-S17
FAX08980,PL2,SQK-16S024,barcode18,JAR-3-DRS-S18
FAX08980,PL2,SQK-16S024,barcode19,JAR-3-MGE-S19
FAX08980,PL2,SQK-16S024,barcode23,JOA-3-MGE-S23
FAX08980,PL2,SQK-16S024,barcode20,GOO-4-DRS-S20
FAX08980,PL2,SQK-16S024,barcode21,GOO-4-MGE-S21
FAX08980,PL2,SQK-16S024,barcode01,IRI-16-MGE-S1
FAX08980,PL2,SQK-16S024,barcode05,HAM-17-MGE-S5
FAX08980,PL2,SQK-16S024,barcode13,GRO-36-MGE-S13
FAX08980,PL2,SQK-16S024,barcode22,MAR-37-MGE-S22
FAX08980,PL2,SQK-16S024,barcode07,GRO-41-MGE-S7
FAX08980,PL2,SQK-16S024,barcode09,MAR-41-MGE-S9
FAX08980,PL2,SQK-16S024,barcode10,JAR-44-MGE-S10
FAX08980,PL2,SQK-16S024,barcode08,KOR-44-MGE-S8
FAX08980,PL2,SQK-16S024,barcode06,WOL-44-MGE-S6
FAX08980,PL2,SQK-16S024,barcode11,KUB-58-MGE-S11
FAX08980,PL2,SQK-16S024,barcode14,KOR-58-MGE-S14
FAX08980,PL2,SQK-16S024,barcode11,KUB-58-MGE-S11
FAX08980,PL2,SQK-16S024,barcode12,HAM-67-MGE-S12
FAX08980,PL2,SQK-16S024,barcode15,GRO-70-DRS-S15
FAX08980,PL2,SQK-16S024,barcode02,WOL-70-MGE-S2
