"ID"	"buddy11"	"buddy16"	"buddy44"	"buddy46"	"buddy48"	"buddy50"	"buddy56"	"buddy57"
"fpt1"	0.03	1.1	0.01	0	0	0	0	0
"fpt2"	0.01	0.04	0	0	0	0	0	0
"fpt3"	0.03	1.1	0.01	0	0	0	0	0
"fpt4"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt5"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt6"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt7"	0.03	0.04	0.03	0.09	0.06	0.1	0.06	0.01
"fpt8"	44.39	31.18	17.83	27.19	14.74	13.03	18.72	20.37
"fpt9"	0.06	0.13	0	0	0	0	0	0
"fpt10"	0.06	0.19	0.1	0.01	0.21	0.1	0.03	0.06
"fpt11"	0.04	0.19	0	0	0.21	0	0	0.06
"fpt12"	10.62	19.32	1.14	2.11	0.24	5.06	7.47	0.76
"fpt13"	0.03	0.09	0	0	0	0.01	0.01	0
"fpt14"	0.01	0	0.01	0.04	0.03	0.06	0.01	0.01
"fpt15"	0.03	1.1	0.01	0	0	0	0	0
"fpt16"	0.41	10.22	1.04	1.34	0.24	0.4	0.16	0.64
"fpt17"	0.01	0.01	0	0.01	0.01	0.01	0	0
"fpt18"	0.04	0.19	0	0	0.21	0	0	0.06
"fpt19"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt20"	0.04	2.42	0.04	0.01	0	0.01	0	0
"fpt21"	0.94	29.79	1.57	0.51	1.09	0.99	0.34	0.96
"fpt22"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt23"	36.33	18.2	17.53	26.46	14.29	13.13	16.11	20.29
"fpt24"	0.03	0	0.04	0.09	0.06	0.1	0.06	0.03
"fpt25"	0.1	1.33	0.11	0.01	0.21	0.11	0.04	0.06
"fpt26"	0.04	0.19	0	0	0.21	0	0	0.06
"fpt27"	0.1	1.33	0.11	0.01	0.21	0.11	0.04	0.06
"fpt28"	0.06	0.2	0	0.01	0.23	0.01	0	0.06
"fpt29"	0	0	0	0	0.01	0	0.01	0
"fpt30"	0.04	2.42	0.04	0.01	0	0.01	0	0
"fpt31"	0.44	12.8	0.89	0.19	0.09	0.21	0.09	0.04
"fpt32"	7.2	20.19	1.01	0.29	0.37	1.47	2.46	0.14
"fpt33"	38.18	20.48	17.15	26.09	14.27	11.6	16.11	20.07
"fpt34"	23.07	15.17	12.7	11.37	9.79	9.88	15.19	14.64
"fpt35"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt36"	0.27	4.41	1.6	2.6	0.34	2.44	0.64	0.97
"fpt37"	0.07	2.65	0.06	0.03	0.01	0.04	0.01	0
"fpt38"	0.01	0.04	0	0	0	0.01	0.03	0
"fpt39"	0.06	2.61	0.06	0.01	0	0.01	0	0
"fpt40"	38.32	20.5	17.63	26.56	14.37	13.26	16.25	20.31
"fpt41"	0.07	2.65	0.06	0.03	0.01	0.06	0.01	0
"fpt42"	0.03	1.1	0.01	0	0	0	0	0
"fpt43"	23.1	4.31	9.32	8.5	6.02	5.55	9.36	12.24
"fpt44"	24.97	13.67	12.93	12.63	10	10.12	15.44	15.26
"fpt45"	1.1	2.06	0.09	0.01	0.03	0.01	0.01	0.04
"fpt46"	0.17	4.27	0.49	0.4	0.03	1.63	0.09	0.21
"fpt47"	33.6	18.25	9.32	8.52	6.02	33.23	45.03	12.26
"fpt48"	0.06	0.13	0	0	0	0.01	0	0
"fpt49"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt50"	38.12	20.35	17.15	26.09	14.27	11.59	16.11	20.07
"fpt51"	0.09	1.29	0.11	0.01	0.21	0.1	0.03	0.06
"fpt52"	0.3	7.16	1.44	2.27	0.54	1.09	0.59	0.81
"fpt53"	0.1	2.65	0.04	0.01	0.21	0.03	0.01	0.06
"fpt54"	6.87	8.5	0.53	0.43	0.26	2.77	2.42	0.3
"fpt55"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt56"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt57"	0.03	0.01	0.03	0.04	0.03	0.03	0.06	0.01
"fpt58"	20.35	28.26	0.76	0.59	0.14	30.67	38.23	0.33
"fpt59"	0.33	7.94	0.6	0.11	0.06	0.09	0.03	0.03
"fpt60"	1.76	15.73	2.43	3.61	0.59	1.4	0.74	1.44
"fpt61"	0.03	0.04	0	0	0	0.01	0.03	0
"fpt62"	0	1.45	0.01	0	0	0.03	0	0
"fpt63"	0.04	2.42	0.04	0.01	0	0.01	0	0
"fpt64"	23.05	4.18	9.3	8.47	6	5.49	9.33	12.24
"fpt65"	0.04	0.19	0	0	0.21	0	0	0.06
"fpt66"	0.04	0.19	0	0	0.21	0	0	0.06
"fpt67"	0.04	0.19	0	0	0.21	0	0	0.06
"fpt68"	0.04	0.19	0	0	0.21	0	0	0.06
"fpt69"	0.01	0.01	0	0	0	0	0.01	0
"fpt70"	1.67	14.04	1.47	0.67	0.39	2.04	0.21	0.36
"fpt71"	0.06	0.13	0	0	0.01	0.04	0.01	0
"fpt72"	0	0	0.01	0.03	0	0.01	0	0
"fpt73"	0.41	9.46	1.66	2.16	0.26	0.74	0.51	0.74
"fpt74"	0.06	0.13	0	0	0	0.01	0	0
"fpt75"	0.04	0.19	0	0	0.21	0	0	0.06
"fpt76"	0.09	2.61	0.04	0.01	0.21	0.01	0	0.06
"fpt77"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt78"	21.96	13.83	12.49	11.73	9.62	8.13	14.66	14.86
"fpt79"	0.01	0.04	0.03	0.09	0.06	0.1	0.06	0.01
"fpt80"	0.03	1.12	0.03	0	0	0	0	0
"fpt81"	0.01	0.04	0.03	0.09	0.06	0.1	0.06	0.01
"fpt82"	0.04	3.88	0.09	0.07	0	0.07	0.03	0
"fpt83"	0.06	0.13	0	0	0	0.01	0	0
"fpt84"	0.04	0.19	0.01	0.03	0.21	0.01	0	0.07
"fpt85"	0.04	0.19	0	0	0.21	0	0	0.07
"fpt86"	0.19	2.81	1.09	2.1	0.46	0.73	0.5	0.79
"fpt87"	1.11	3.38	0.11	0.03	0.01	0.03	0.01	0.04
"fpt88"	0.06	0.23	0	0	0.21	0.01	0.01	0.06
"fpt89"	0.04	0.19	0	0	0.21	0	0	0.06
"fpt90"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt91"	0.1	0.1	0.07	0.07	0.09	0.04	0.06	0.03
"fpt92"	29.59	16.23	11.39	9.23	9.76	10.09	17.02	13.99
"fpt93"	0.07	1.29	0.01	0	0.21	0	0	0.06
"fpt94"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt95"	0.14	2.62	1.09	2.1	0.24	0.73	0.5	0.73
"fpt96"	0.04	0.19	0	0	0.21	0	0	0.06
"fpt97"	0.07	1.29	0.01	0	0.21	0	0	0.06
"fpt98"	14.99	20.42	7.17	17.96	5.17	4.8	2.02	6.6
"fpt99"	0.01	0	0.1	0.01	0	0.1	0.03	0
"fpt100"	0.04	0.19	0	0	0.21	0	0	0.06
"fpt101"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt102"	0.04	0.19	0	0	0.21	0	0	0.06
"fpt103"	0.07	1.29	0.01	0	0.21	0	0	0.06
"fpt104"	0.07	1.29	0.01	0	0.21	0	0	0.06
"fpt105"	36.28	17.4	17.13	26.13	14.3	11.68	16.09	20.07
"fpt106"	0.01	0	0.01	0.06	0.04	0.07	0.01	0.01
"fpt107"	0.09	1.29	0.11	0.01	0.21	0.1	0.03	0.06
"fpt108"	36.29	17.44	17.13	26.13	14.29	11.65	16.09	20.07
"fpt109"	0.27	6.49	1.6	3.44	0.49	1.16	0.69	1.36
"fpt110"	1.69	2.71	3.06	4.93	4.14	3.32	6.09	3.39
"fpt111"	0.13	2.46	0.1	0.49	0.06	0.06	0.13	0.06
"fpt112"	0.04	1.15	0.01	0	0	0.01	0.01	0
"fpt113"	0.04	0.19	0	0	0.21	0	0	0.06
"fpt114"	1.77	16.31	2.44	3.54	0.77	1.3	0.69	1.49
"fpt115"	0.06	2.69	0.1	0.07	0.04	0.06	0.04	0.01
"fpt116"	0	1.45	0.01	0	0	0.03	0	0
"fpt117"	0.04	2.42	0.04	0.01	0	0.01	0	0
"fpt118"	1.1	2.06	0.09	0.01	0.01	0.01	0.01	0.04
"fpt119"	0.43	12.82	0.86	0.14	0.06	0.2	0.04	0.03
"fpt120"	0.19	2.78	0.16	0.07	0.26	0.23	0.09	0.09
"fpt121"	2.04	1.09	0	0	0	25.64	32.13	0.01
"fpt122"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt123"	22.46	0.92	10.33	8.67	9.42	7.29	14.53	13.64
"fpt124"	1.11	0.24	0.17	0.49	0.31	0.4	0.56	0.17
"fpt125"	0.11	0.32	0.1	0.01	0.23	0.14	0.04	0.06
"fpt126"	0.06	3.91	0.09	0.1	0.06	0.14	0.06	0.01
"fpt127"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt128"	0.03	1.1	0.01	0	0	0	0	0
"fpt129"	0.04	2.42	0.04	0.01	0	0.01	0	0
"fpt130"	0.16	1.29	0.09	0.53	0.31	0.11	0.13	0.13
"fpt131"	0.01	0.04	0.03	0.09	0.06	0.1	0.06	0.01
"fpt132"	23	13.97	11.26	8.87	9.76	7.49	14.62	13.76
"fpt133"	0.01	0.04	0	0	0	0	0	0
"fpt134"	0.06	2.46	0.04	0.01	0	0.03	0.01	0
"fpt135"	0.07	0.23	0.01	0.04	0.24	0.07	0.03	0.07
"fpt136"	0	1.46	0.01	0	0	0.03	0	0
"fpt137"	0.03	1.1	0.01	0	0	0	0.01	0
"fpt138"	36.39	21.32	17.35	26.15	14.3	11.72	16.04	20.09
"fpt139"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt140"	0.03	1.1	0.01	0	0	0	0	0
"fpt141"	0.01	0	0.03	0.04	0.03	0.03	0.04	0.01
"fpt142"	3.01	10.42	4.46	7.16	4.46	4.27	6.66	4.19
"fpt143"	0	0	0	0.01	0.01	0.01	0	0
"fpt144"	40.52	29.69	14.83	22.93	10.37	9.43	12.06	17.36
"fpt145"	36.53	23.97	17.4	26.13	14.34	11.79	16.04	20.29
"fpt146"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt147"	0.01	0.01	0	0.01	0.01	0.01	0	0
"fpt148"	0.04	0.19	0	0	0.21	0	0	0.06
"fpt149"	0.06	0.2	0	0.01	0.23	0.01	0	0.06
"fpt150"	0.04	0.19	0	0	0.21	0	0	0.06
"fpt151"	0.04	0.19	0	0	0.21	0	0	0.06
"fpt152"	0.03	0.09	0	0	0	0.01	0.01	0
"fpt153"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt154"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt155"	24.66	8.21	11.99	12.23	9.96	8.55	15.34	15.03
"fpt156"	0.04	1.15	0.01	0	0.01	0.01	0.03	0
"fpt157"	0.04	2.42	0.04	0.01	0	0.01	0	0
"fpt158"	0.11	0.32	0.11	0.04	0.21	0.11	0.03	0.07
"fpt159"	0.26	3.45	1.53	3.41	0.47	1.1	0.67	1.36
"fpt160"	0.01	0.04	0.03	0.09	0.06	0.1	0.06	0.01
"fpt161"	0.03	1.1	0.01	0	0	0	0	0
"fpt162"	0.03	1.1	0.01	0	0	0	0	0
"fpt163"	0.16	5.79	0.33	0.19	0.1	0.27	0.06	0.03
