"ID"	"lambchop17"	"lambchop18"	"lambchop25"	"lambchop37"	"lambchop44"	"lambchop46"	"lambchop48"	"lambchop50"	"lambchop55"	"lambchop70"
"fpt1"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt2"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt3"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt4"	0	0	0	0.09	0.07	0.04	0.01	0.03	0.03	0.03
"fpt5"	61.21	45.21	55.02	21.47	48.59	64.11	29.16	55.44	71.16	75.64
"fpt6"	0.03	0.01	0	0	0.01	0.07	0	0.13	0	0
"fpt7"	0.95	1.6	0.01	0	0.03	0.04	0	0.07	0.06	0.01
"fpt8"	0.95	1.6	0.01	0	0.03	0	0	0	0.04	0
"fpt9"	31.28	13.09	2.77	4.4	0.59	1.34	0.5	0.47	1.79	2.67
"fpt10"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt11"	0	0	0	0.03	0.01	0.01	0	0.01	0.01	0.01
"fpt12"	0	0	0	0.54	0.07	0.17	0.27	0.03	0.16	0.11
"fpt13"	0	0	0	0.04	0	0	0.01	0.01	0	0.01
"fpt14"	0.95	1.6	0.01	0	0.03	0	0	0	0.04	0
"fpt15"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt16"	0	0	0	0	0.04	0.06	0	0	0	0.01
"fpt17"	0.99	2.02	0.1	0.34	2.5	2.99	0.31	0.73	0.64	1.16
"fpt18"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt19"	21.28	26.47	52.49	19.33	48.31	63.47	28.51	54.72	69.91	73.27
"fpt20"	0	0	0	0.16	0.04	0.01	0.04	0.01	0.01	0.01
"fpt21"	2.32	2.49	1.51	0.01	0.06	0.16	0.01	0.23	0.56	0.03
"fpt22"	0.95	1.6	0.01	0	0.03	0	0	0	0.04	0
"fpt23"	2.32	2.49	1.51	0.01	0.06	0.16	0.01	0.23	0.56	0.03
"fpt24"	0.95	1.6	0.01	0.04	0.03	0	0.01	0.01	0.04	0.01
"fpt25"	0	0.01	0	0	0.01	0.03	0	0.07	0.01	0
"fpt26"	0	0	0	0	0.04	0.06	0	0	0	0.01
"fpt27"	0	0.01	0	0.11	0.14	0.31	0.04	0.2	0.16	0.13
"fpt28"	39.88	18.35	2.5	1.96	0.36	0.64	0.16	0.77	1.27	2.12
"fpt29"	21.31	26.48	52.46	19.96	48.28	63.45	28.44	54.58	69.83	73.23
"fpt30"	21.27	26.47	33.87	10.28	21.66	30.8	22.21	30.78	17.89	3.85
"fpt31"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt32"	0.01	0.03	0.04	1.12	0.63	1.23	0.47	0.44	1.14	0.86
"fpt33"	1.37	0.89	1.5	0.03	0.11	0.2	0.01	0.17	0.51	0.03
