task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
28	95/c7906d	4178635	fastcat (24)	COMPLETED	0	2025-01-12 16:19:53.963	750ms	374ms	99.3%	57.2 MB	189.1 MB	19.2 MB	13.4 MB
25	e8/c5f096	4178810	fastcat (21)	COMPLETED	0	2025-01-12 16:19:54.021	668ms	337ms	138.8%	59.8 MB	189.1 MB	24.6 MB	17.2 MB
7	14/e53bcb	4178608	fastcat (3)	COMPLETED	0	2025-01-12 16:19:53.911	811ms	377ms	160.8%	82.9 MB	189.5 MB	33.8 MB	23.6 MB
8	5c/c3b1d9	4178670	fastcat (4)	COMPLETED	0	2025-01-12 16:19:53.977	755ms	399ms	142.2%	56.7 MB	189.1 MB	32.4 MB	22.4 MB
24	3c/fcea2f	4178622	fastcat (20)	COMPLETED	0	2025-01-12 16:19:53.946	821ms	439ms	170.4%	60.3 MB	189.1 MB	39.8 MB	28 MB
18	d9/92a620	4178691	fastcat (14)	COMPLETED	0	2025-01-12 16:19:53.988	796ms	460ms	209.9%	5.5 MB	36.5 MB	54 MB	37.7 MB
21	06/a1d98b	4178770	fastcat (17)	COMPLETED	0	2025-01-12 16:19:54.006	796ms	469ms	216.4%	51.7 MB	189.1 MB	57.7 MB	40.4 MB
6	33/1e7034	4180705	fastcat (2)	COMPLETED	0	2025-01-12 16:19:54.776	374ms	115ms	46.3%	81.3 MB	382 MB	307.6 KB	124.9 KB
10	0d/55fae3	4178615	fastcat (6)	COMPLETED	0	2025-01-12 16:19:53.929	1.3s	909ms	113.0%	83 MB	189.5 MB	59.1 MB	41.2 MB
23	36/dfe6ad	4180591	fastcat (19)	COMPLETED	0	2025-01-12 16:19:54.743	536ms	233ms	174.4%	81 MB	189.1 MB	22.2 MB	15.6 MB
9	6e/8487a4	4180554	fastcat (5)	COMPLETED	0	2025-01-12 16:19:54.733	548ms	260ms	143.6%	82.8 MB	189.1 MB	20.7 MB	14.3 MB
11	b6/e62dfd	4180519	fastcat (7)	COMPLETED	0	2025-01-12 16:19:54.720	561ms	267ms	212.8%	74.9 MB	189.1 MB	31.3 MB	21.9 MB
20	84/f3e098	4180769	fastcat (16)	COMPLETED	0	2025-01-12 16:19:54.791	556ms	275ms	174.7%	82 MB	189.1 MB	27.8 MB	19.2 MB
16	a4/511a74	4180468	fastcat (12)	COMPLETED	0	2025-01-12 16:19:54.702	825ms	509ms	75.5%	70.6 MB	189.1 MB	19.5 MB	13.6 MB
5	3e/10f516	4181901	fastcat (1)	COMPLETED	0	2025-01-12 16:19:55.158	676ms	373ms	219.9%	66.3 MB	189.1 MB	47 MB	32.8 MB
12	ad/5f4ea0	4182206	fastcat (8)	COMPLETED	0	2025-01-12 16:19:55.303	561ms	251ms	171.3%	2.8 MB	3.8 MB	23.6 MB	16.4 MB
19	98/48292f	4181864	fastcat (15)	COMPLETED	0	2025-01-12 16:19:55.142	727ms	437ms	268.6%	78.7 MB	189.1 MB	63 MB	44.4 MB
13	10/c98077	4182412	fastcat (9)	COMPLETED	0	2025-01-12 16:19:55.354	526ms	241ms	148.9%	82.9 MB	189.1 MB	21 MB	14.5 MB
17	df/fb48a2	4182157	fastcat (13)	COMPLETED	0	2025-01-12 16:19:55.287	617ms	330ms	196.3%	67.7 MB	189.1 MB	36.9 MB	25.7 MB
22	03/779888	4182066	fastcat (18)	COMPLETED	0	2025-01-12 16:19:55.250	742ms	453ms	283.2%	83.1 MB	189.1 MB	70.4 MB	49.6 MB
3	72/a3c447	4183893	minimap_pipeline:run_common:getParams	COMPLETED	0	2025-01-12 16:19:55.899	295ms	7ms	87.9%	0	0	75.9 KB	3.4 KB
14	11/a6c62a	4182173	fastcat (10)	COMPLETED	0	2025-01-12 16:19:55.295	937ms	623ms	58.7%	37.1 MB	189.1 MB	19.7 MB	13.6 MB
