"ID"	"jarjarbinks14"	"jarjarbinks15"	"jarjarbinks21"	"jarjarbinks29"	"jarjarbinks32"	"jarjarbinks44"	"jarjarbinks49"	"jarjarbinks68"
"fpt1"	0	0	0	0	0	0.03	0	0
"fpt2"	0	0	0	0	0	0.04	0	0
"fpt3"	0	0	0	0	0.03	0.06	0	0.01
"fpt4"	0	0	0	0	0.03	0.06	0	0.01
"fpt5"	0.01	0	0	0	0.11	0.01	0.39	0.2
"fpt6"	0.17	0.19	0.01	0	0.24	0.3	0.46	0.36
"fpt7"	39.21	30.3	50.26	53.31	59.19	53.27	53.71	47.66
"fpt8"	0.86	0.74	1.3	1.64	2.43	6.96	2.3	6.25
"fpt9"	0.03	0.01	0	0	0	0	0	0
"fpt10"	0.03	0.01	0	0	0	0	0	0
"fpt11"	0.06	0.23	1.31	3.99	8.08	1.98	2.4	3.15
"fpt12"	0.03	0.01	0	0	0.03	0.01	0	0.01
"fpt13"	1.39	2.34	2.24	6.69	14.12	3.24	3.6	4.68
"fpt14"	8.59	5.91	3.43	4.44	7.31	30.69	5.13	4.2
"fpt15"	9.97	8.24	4.99	9.1	17.66	32.95	7.82	8.04
"fpt16"	8.59	5.91	3.43	4.44	7.31	30.69	5.13	4.2
"fpt17"	12.74	10.21	13.5	14.13	25.88	43.63	16	17.65
"fpt18"	0	0	0	0	0	0.06	0	0
"fpt19"	0	0	0	0	0.03	0.06	0	0.01
"fpt20"	1.32	2.29	1.56	4.66	10.39	25.46	2.83	3.93
"fpt21"	0	0	0	0	0.03	0.06	0	0.01
"fpt22"	0	0	0	0	0.03	0.01	0	0.01
"fpt23"	0.03	0.01	0	0	0	0	0	0
"fpt24"	0.1	0.1	0.04	0.06	0.14	0.03	0.26	0.1
"fpt25"	40.05	31.04	51.56	54.96	61.59	60.2	56.01	53.91
"fpt26"	39.19	30.3	50.26	53.31	59.16	53.24	53.71	47.66
