"Taxa"	"ginger14"	"ginger27"	"ginger43"	"ginger46"	"ginger49"	"ginger50"	"ginger52"	"ginger55"	"ginger66"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.582332761578045	0.366857142857143	0.0423401516235159	0.217124070897656	0.402257787939411	0.375142857142857	0.281468781254465	0.346819156540386	0.0343102215868477
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.0819039451114923	0.121	0.40280360463453	0.206975414522584	0.065304372677908	0.0882857142857143	0.147878268324046	0.135382416011437	0.658327376697641
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0793310463121784	0.111428571428571	0.0533543126877414	0.289879931389365	0.365390111460417	0.275571428571429	0.227461065866552	0.205146533238027	0.0260185847033595
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.0710405946255003	0.266714285714286	0.0308968674009441	0.116781017724414	0.0885967419262646	0.162285714285714	0.192741820260037	0.158541815582559	0.0408863473909936
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.114493996569468	0.0968571428571429	0.0293234158203404	0.108061749571184	0.066018862532152	0.0794285714285714	0.117445349335619	0.116654753395282	0.0313080771979986
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.0283018867924528	0.0228571428571429	0.0964096695751681	0.0553173241852487	0.00557302086310374	0.0131428571428571	0.02686098014002	0.0161543959971408	0.114796283059328
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0.293091117150622	0	0	0	0	0	0.0613295210864903
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.00200114351057747	0.00157142857142857	0.0504934916320984	0.00328759291023442	0.00557302086310374	0.00371428571428571	0.00285755107872553	0.012723373838456	0.0105789849892781
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.0305889079473985	0.003	0	0.000142938822184105	0	0	0	0	0.0184417441029307
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.00886220697541452	0.00957142857142857	0.000715205263910742	0.00200114351057747	0.000571591883395256	0.00128571428571429	0.00257179597085298	0.00600428877769836	0.00185847033595425
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.000857632933104631	0	0.000429123158346445	0.000142938822184105	0.000285795941697628	0.000714285714285714	0.000571510215745106	0.000142959256611866	0.00157255182273052
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.00028587764436821	0.000142857142857143	0	0.00028587764436821	0.000428693912546442	0.000142857142857143	0.000142877553936277	0.00228734810578985	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0	0	0	0	0	0	0	0	0.000428877769835597
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0	0	0	0	0	0.000142857142857143	0	0.000142959256611866	0
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0	0	0.000143041052782148	0	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0	0	0	0	0	0	0	0	0.000142959256611866
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0	0	0	0	0	0.000142857142857143	0	0	0
