"ID"	"study_day"	"subj_day"	"CollectionDate"	"Subject"	"Subj_Certainty"	"probiotic"	"oatgel"	"steroid"	"cauliflower"	"tomatoes"	"broccoli"	"med_type"	"med_name"	"med_dose"	"dose_units"	"enclosure"	"access"	"estrus"	"pregnant"	"bristol_mean"	"bristol_min"	"bristol_max"	"health_note"	"repro_note"	"SampleNotes"
"hdz-013"	1	"C1"	2023-10-26	"culi"	"yes"	"no"	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"yes"	NA	NA	4	3	5	NA	NA	""
"hdz-014"	2	"C2"	2023-10-27	"culi"	"yes"	"no"	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"yes"	NA	NA	4	3	6	NA	NA	""
"hdz-021"	3	"C3"	2023-10-28	"culi"	"yes"	"no"	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"yes"	NA	NA	3	3	3	NA	NA	""
"hdz-011"	4	"C4"	2023-10-29	"culi"	"yes"	"no"	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"yes"	NA	NA	3	3	3	NA	NA	""
"hdz-010"	6	"C6"	2023-10-31	"culi"	"yes"	"no"	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-016"	7	"C7"	2023-11-01	"culi"	"yes"	"no"	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-026"	8	"C8"	2023-11-02	"culi"	"yes"	"yes"	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	4	3	6	NA	NA	""
"hdz-024"	8	"C8"	2023-11-02	"culi"	"yes"	"yes"	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	4	3	6	NA	NA	""
"hdz-020"	10	"C10"	2023-11-04	"culi"	"yes"	"yes"	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-035"	12	"C12"	2023-11-06	"culi"	"yes"	"yes"	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	4	3	5	NA	NA	""
"hdz-040"	15	"C15"	2023-11-09	"culi"	"yes"	"yes"	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-054"	25	"C25"	2023-11-19	"culi"	"yes"	"yes"	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-069"	28	"C28"	2023-11-22	"culi"	"yes"	"yes"	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	6	6	6	NA	NA	""
"hdz-064"	29	"C29"	2023-11-23	"culi"	"yes"	"yes"	"yes"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-063"	30	"C30"	2023-11-24	"culi"	"yes"	"yes"	"yes"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-071"	38	"C38"	2023-12-02	"culi"	"yes"	"yes"	"yes"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-065"	39	"C39"	2023-12-03	"culi"	"yes"	"yes"	"yes"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	4	3	6	NA	NA	""
"hdz-187"	42	"C42"	2023-12-06	"culi"	"yes"	"yes"	"yes"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-184"	43	"C43"	2023-12-07	"culi"	"yes"	"yes"	"yes"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-181"	46	"C46"	2023-12-10	"culi"	"yes"	"yes"	"yes"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-180"	48	"C48"	2023-12-12	"culi"	"yes"	"yes"	"yes"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-167"	50	"C50"	2023-12-14	"culi"	"yes"	"no"	"no"	0.1	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-060"	51	"C51"	2023-12-15	"culi"	"yes"	"no"	"no"	0.1	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	6	5	6	NA	NA	""
"hdz-174"	52	"C52"	2023-12-16	"culi"	"yes"	"no"	"no"	0.1	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-163"	55	"C55"	2023-12-19	"culi"	"yes"	"no"	"no"	0.1	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-102"	59	"C59"	2023-12-23	"culi"	"no"	"no"	"no"	0.1	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-097"	61	"C61"	2023-12-25	"culi"	"yes"	"no"	"no"	0.1	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-087"	65	"C65"	2023-12-29	"culi"	"yes"	"no"	"no"	0.1	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
"hdz-085"	68	"C68"	2024-01-01	"culi"	"yes"	"no"	"no"	0.1	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	NA	NA	3	3	3	NA	NA	""
