"Taxa"	"jarjarbinks14"	"jarjarbinks15"	"jarjarbinks21"	"jarjarbinks29"	"jarjarbinks32"	"jarjarbinks44"	"jarjarbinks49"	"jarjarbinks68"
"Metabolism|Global and overview maps"	0.371681927365911	0.372796429170031	0.389926370105651	0.379742498097948	0.374737216854985	0.362563471637066	0.36817024742024	0.377434261733771
"Metabolism|Carbohydrate metabolism"	0.112236189153529	0.113670444284283	0.110197076750407	0.114036243274156	0.111808875684676	0.103249355717461	0.113219984584963	0.108798057939569
"Environmental Information Processing|Membrane transport"	0.0739233081507623	0.0811546571791606	0.0683744590325401	0.0809014393218	0.078265367297429	0.0551573017334154	0.0892444726577454	0.073822081750586
"Metabolism|Amino acid metabolism"	0.0600675958479336	0.0600514955339786	0.0667391016342044	0.0624426892143057	0.0612982633835962	0.0586784565475857	0.0602176857543082	0.0628619880610456
"Environmental Information Processing|Signal transduction"	0.0587924160054283	0.056234593911644	0.0410118867684683	0.043747636682105	0.0467260996593109	0.0617562238468789	0.049209143640108	0.047157271454612
"Cellular Processes|Cellular community - prokaryotes"	0.0457393743115179	0.0456038373443958	0.0383005600119788	0.0430276233121565	0.0441134973526704	0.0542541493625521	0.0460012357626508	0.0443869652873745
"Metabolism|Energy metabolism"	0.0363682370292599	0.0367201036080771	0.0371725293183576	0.0366670425574485	0.0375514933078895	0.0364131397615306	0.036985315336935	0.0372307647184421
"Metabolism|Metabolism of cofactors and vitamins"	0.0318481644161584	0.0324574249683662	0.0356226967499565	0.0351019310477611	0.033978343679276	0.0344384798153923	0.031699487470347	0.0347220181871145
"Metabolism|Nucleotide metabolism"	0.0246650736027106	0.0247972732103841	0.0269516841874261	0.0263937519549595	0.026011492343781	0.0241270096011945	0.0253154281296926	0.0260977087833937
"Metabolism|Lipid metabolism"	0.0222783663975277	0.0207185726166931	0.0199445856471592	0.0191918273622484	0.0201811282720431	0.0236383749179941	0.0199133376173867	0.0203952235081885
"Genetic Information Processing|Translation"	0.0174260873614066	0.017489420055953	0.019885598591593	0.018637036500999	0.0178736157016762	0.0172960972810337	0.0172792541443511	0.0189436522582025
"Genetic Information Processing|Replication and repair"	0.0170883081340381	0.0170903417824401	0.0189785553087813	0.0176743274322514	0.0178587886718991	0.0178416777257737	0.0174319149107594	0.0183741415187674
"Metabolism|Glycan biosynthesis and metabolism"	0.0156042863220282	0.0139033653723816	0.0142855727419181	0.0129379244778982	0.012939382849271	0.0170535160470469	0.0124847753566863	0.0133692652701324
"Metabolism|Xenobiotics biodegradation and metabolism"	0.0127070200403201	0.0123955346443022	0.0146186132782959	0.0128502402510438	0.0141097048542099	0.012652629837779	0.0135044435996738	0.0138927542883223
"Metabolism|Metabolism of other amino acids"	0.0119791678958004	0.0117746421758957	0.0133861306874723	0.01282087211105	0.0131811091517145	0.0137011289867573	0.0124317298229808	0.0130537637501269
"Metabolism|Biosynthesis of other secondary metabolites"	0.0131352298578889	0.0125007020339732	0.0126878798651937	0.0119647366763539	0.0121214334612154	0.0148580395883244	0.0122799405111258	0.0123861375701969
"Human Diseases|Drug resistance: Antimicrobial"	0.0119208499002411	0.011938964326811	0.0110935378131828	0.011565891909616	0.0121639135419661	0.0133293410687571	0.0113926445286186	0.0115670592600511
"Genetic Information Processing|Folding, sorting and degradation"	0.00995873176844931	0.0100369915547803	0.0111974838650777	0.0107356140831549	0.0107758200200982	0.0117404102059429	0.0102661270721738	0.0112076920122984
"Metabolism|Metabolism of terpenoids and polyketides"	0.00954177892934731	0.00913849868862219	0.0100756439464444	0.00957372468420802	0.00998661496502645	0.00876927415050746	0.00994617869385597	0.00961965814461443
"Cellular Processes|Cell growth and death"	0.00805740214945824	0.00761177207693282	0.00711594695545323	0.00704885449903948	0.00732740565485807	0.010040758431165	0.00779527174962423	0.00793391497401637
"Cellular Processes|Cell motility"	0.00638920301981321	0.00569665574144081	0.00491728485174759	0.00658481360320926	0.00846429671366357	0.0120641762364741	0.00849438195382736	0.00774379532721389
"Human Diseases|Infectious diseases: Bacterial"	0.00509677870920153	0.00454791185699179	0.00474967099348877	0.00475694924280887	0.00532807442941618	0.00643797063630934	0.00465330925709602	0.00501415591743436
"Organismal Systems|Endocrine system"	0.00396334013485999	0.00373412552824387	0.00411515460560967	0.00379041903048185	0.00384153770917545	0.00420813676470344	0.0038074027459201	0.00406089256700162
"Human Diseases|Cancers: Overview"	0.00262254030986778	0.00255145327543941	0.00261187337863482	0.00250827416010195	0.00273475965001426	0.00333651658248971	0.00237940629535253	0.00266679623386073
"Human Diseases|Drug resistance: Antineoplastic"	0.00184809512045906	0.00186065214512013	0.0021125405547027	0.00208456019769489	0.00208890722408579	0.00234309755727758	0.00197482301986318	0.00223188474256038
"Cellular Processes|Transport and catabolism"	0.00276014499828731	0.00215790185348835	0.00167398196408679	0.00149565597394669	0.0016612387811183	0.00317352363241116	0.00169905326403255	0.00169819011819743
"Organismal Systems|Aging"	0.00161171123659351	0.00150235563239098	0.0016195696720246	0.00161358869733728	0.00183641545060352	0.00242265928562989	0.00165186273851262	0.00181507330618703
"Organismal Systems|Immune system"	0.00179412491264014	0.00161334609901683	0.00160831147229719	0.00147773027512804	0.00149611542143018	0.0018491729384193	0.00158669206947824	0.00158785152972923
"Human Diseases|Endocrine and metabolic diseases"	0.00143094857575991	0.00140092445113684	0.00170071227652993	0.00149904896168092	0.00156422891406552	0.00176634474899951	0.00141403222021516	0.00162266569343143
"Organismal Systems|Environmental adaptation"	0.00131168550681367	0.00115035626339875	0.00115878601705236	0.00111539918071961	0.00128500062203474	0.00168562568365448	0.00131008427529063	0.00133210499294465
"Human Diseases|Cardiovascular diseases"	0.00123585009922965	0.00104283914528561	0.00110243757296615	0.000998758115182434	0.00109359080096583	0.00169282627435402	0.00102245931592092	0.0011612956518651
"Genetic Information Processing|Transcription"	0.00109998155997755	0.00119005681819319	0.00120061614908177	0.00121868800620657	0.00109147101332471	0.00086529320718047	0.0010932623299524	0.00115565413063082
"Organismal Systems|Nervous system"	0.0011156749578544	0.0010281416888413	0.000878999309348772	0.00083460304229972	0.000942518791062485	0.0012333184286521	0.000853678075868917	0.000972127884703622
"Human Diseases|Neurodegenerative diseases"	0.000607370482481063	0.000575623092970892	0.000604217742511208	0.000708649104790201	0.000915045539963196	0.00157394389918089	0.000762888255801573	0.000963784188344418
"Human Diseases|Cancers: Specific types"	0.00055225051038002	0.000530326034704565	0.000742483935236614	0.000630220734834764	0.000778158618020813	0.000997476040665787	0.000667318838193583	0.000761484279665562
"Organismal Systems|Digestive system"	0.000501866183910428	0.000408962196093967	0.000575232710546302	0.000501140097517237	0.000551262043796042	0.000685329174877662	0.000609075308994182	0.000548156817843053
"Human Diseases|Infectious diseases: Viral"	0.000304212415683387	0.000283984198436863	0.000406533941728988	0.000383617062822311	0.000437717186537073	0.000654179777287854	0.000402197857366247	0.00048781823662737
"Human Diseases|Immune diseases"	0.000208951359536532	0.000221260944003736	0.000154312227161174	0.000193196003310144	0.000198339027368627	0.000291725153072584	0.000180878748920574	0.000200349710382163
"Human Diseases|Infectious diseases: Parasitic"	0.000152272001587753	0.000109959971453988	0.000122289564923891	0.000138103167866393	0.000194980536247051	0.000408737131277433	0.000160209879161946	0.000198480711961716
"Organismal Systems|Excretory system"	0.000231873560183975	0.000194356117790981	0.000174410230842757	0.000169172954504387	0.000195439493251178	0.000145426081774751	0.00018624225618217	0.000168314904064318
"Human Diseases|Substance dependence"	4.73840339410846e-05	4.37534092427592e-05	7.65997193500454e-05	9.95045768953938e-05	0.000120420567347928	0.000231383466258824	0.000137523489371105	0.000142614878055143
"Organismal Systems|Circulatory system"	2.71141971996206e-05	2.29574755880167e-05	5.37456943606513e-05	6.2492092767188e-05	8.4628784046367e-05	0.000207489839250865	7.32417610330027e-05	0.000114717702098821
"Environmental Information Processing|Signaling molecules and interaction"	3.86000290095419e-05	2.99582246657844e-05	4.28729703654953e-05	4.49846002747986e-05	5.06687568650012e-05	8.0939773458439e-05	6.04310918806022e-05	5.53950425105348e-05
"Metabolism|Chemical structure transformation maps"	9.06040164146192e-06	7.49294948188294e-06	1.76247141867361e-05	2.05624911823365e-05	2.79068575684605e-05	6.67250879082213e-05	2.39429919316009e-05	3.3033412858403e-05
"Organismal Systems|Development"	1.94510433699712e-05	9.58034747286194e-06	1.38244716536934e-05	7.96317593303531e-06	7.71036043639166e-06	1.91463342731145e-05	6.98319560596026e-06	8.9815490032508e-06
