superkingdom	phylum	class	order	family	genus	species	taxid	accession	label
Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abitibacteriaceae	Abditibacterium	Abditibacterium utsteinense	txid1960156	NR_179096.1	NR_179096.1 Abditibacterium utsteinense strain R-68213 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidicapsa	Acidicapsa acidisoli	txid1615681	NR_148580.1	NR_148580.1 Acidicapsa acidisoli strain SK-11 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidicapsa	Acidicapsa dinghuensis	txid2218256	NR_179686.1	NR_179686.1 Acidicapsa dinghuensis strain 4GSKX 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidicapsa	Acidicapsa ligni	txid542300	NR_116444.1	NR_116444.1 Acidicapsa ligni strain WH120 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidisarcina	Acidisarcina polymorpha	txid2211140	NR_180095.1	NR_180095.1 Acidisarcina polymorpha strain SBC82 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Alloacidobacterium	Alloacidobacterium dinghuense	txid2763107	NR_181376.1	NR_181376.1 Alloacidobacterium dinghuense strain 4Y35 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter	Edaphobacter acidisoli	txid2040573	NR_158119.1	NR_158119.1 Edaphobacter acidisoli strain 4G-K17 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter	Edaphobacter aggregans	txid570835	NR_043898.1	NR_043898.1 Edaphobacter aggregans strain Wbg-1 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Occallatibacter	Occallatibacter riparius	txid1002689	NR_147738.1	NR_147738.1 Occallatibacter riparius strain 277 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Occallatibacter	Occallatibacter savannae	txid1002691	NR_147737.1	NR_147737.1 Occallatibacter savannae strain A2-1c 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Paracidobacterium	Paracidobacterium acidisoli	txid2303751	NR_179684.1	NR_179684.1 Paracidobacterium acidisoli strain 4G-K13 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Pseudacidobacterium	Pseudacidobacterium ailaaui	txid1382359	NR_153719.1	NR_153719.1 Pseudacidobacterium ailaaui strain PMMR2 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus aquaticus	txid940139	NR_135733.1	NR_135733.1 Terriglobus aquaticus strain 03SUJ4 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus tenax	txid1111115	NR_133877.1	NR_133877.1 Terriglobus tenax strain DRP 35 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Acidobacteriia	Bryobacterales	Bryobacteraceae	Bryobacter	Bryobacter aggregatus	txid360054	NR_114981.1	NR_114981.1 Bryobacter aggregatus strain MPL3 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Acidobacteriia	Bryobacterales	Bryobacteraceae	Paludibaculum	Paludibaculum fermentans	txid1473598	NR_134120.1	NR_134120.1 Paludibaculum fermentans strain P105 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Blastocatellia	Blastocatellales	Blastocatellaceae	Aridibacter	Aridibacter famidurans	txid1384638	NR_133697.1	NR_133697.1 Aridibacter famidurans strain A22_HD_4H 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Blastocatellia	Blastocatellales	Blastocatellaceae	Aridibacter	Aridibacter kavangonensis	txid1384639	NR_133698.1	NR_133698.1 Aridibacter kavangonensis strain Ac_23_E3 16S ribosomal RNA, partial sequence
Bacteria	Acidobacteria	Blastocatellia	Blastocatellales	Blastocatellaceae	Aridibacter	Aridibacter nitratireducens	txid1911421	NR_159154.1	NR_159154.1 Aridibacter nitratireducens strain A_24_SHP_-5_238 16S ribosomal RNA, partial sequence
