Week,Date,Period,Fecal Score for Culi,Notes,FS,
1,10/26/23,Baseline,"3, 5 ",,4.0,
1,10/27/23,Baseline,"3, 6",,4.5,
1,10/28/23,Baseline,3,,3.0,
1,10/29/23,Baseline,3,,3.0,
1,10/30/23,Baseline,3,,3.0,
1,10/31/23,Baseline,3,,3.0,
1,11/1/23,Baseline,3,,3.0,
2,11/2/23,Probiotic,"3, 6",,4.5,
2,11/3/23,Probiotic,3,,3.0,
2,11/4/23,Probiotic,3,,3.0,
2,11/5/23,Probiotic,3,,3.0,
2,11/6/23,Probiotic,"3, 5",,4.0,
2,11/7/23,Probiotic,3,,3.0,
2,11/8/23,Probiotic,3,,3.0,
3,11/9/23,Probiotic,3,,3.0,
3,11/10/23,Probiotic,3,,3.0,
3,11/11/23,Probiotic,3,,3.0,
3,11/12/23,Probiotic,3,,3.0,
3,11/13/23,Probiotic,3,,3.0,
3,11/14/23,Probiotic,3,,3.0,
3,11/15/23,Probiotic,3,,3.0,
4,11/16/23,Probiotic,3,had what appeared to be dried blood around his anus and tail,3.0,
4,11/17/23,Probiotic,3,,3.0,
4,11/18/23,Probiotic,3,,3.0,
4,11/19/23,Probiotic,3,,3.0,
4,11/20/23,Probiotic,3,,3.0,
4,11/21/23,Probiotic,3,,3.0,
4,11/22/23,Probiotic,6,,6.0,
5,11/23/23,Probiotic + oatmeal gel,3,,3.0,
5,11/24/23,Probiotic + oatmeal gel,3,,3.0,
5,11/25/23,Probiotic + oatmeal gel,6,,6.0,
5,11/26/23,Probiotic + oatmeal gel,3,,3.0,
5,11/27/23,Probiotic + oatmeal gel,3,,3.0,
5,11/28/23,Probiotic + oatmeal gel,3,,3.0,
5,11/29/23,Probiotic + oatmeal gel,3,,3.0,
6,11/30/23,Probiotic + oatmeal gel,3,,3.0,
6,12/1/23,Probiotic + oatmeal gel,3,,3.0,
6,12/2/23,Probiotic + oatmeal gel,3,,3.0,
6,12/3/23,Probiotic + oatmeal gel,"3, 6",,4.5,
6,12/4/23,Probiotic + oatmeal gel,3,,3.0,
6,12/5/23,Probiotic + oatmeal gel,"2, 3",,2.5,
6,12/6/23,Probiotic + oatmeal gel,3,,3.0,
7,12/7/23,Probiotic + oatmeal gel,3,,3.0,
7,12/8/23,Probiotic + oatmeal gel,none found,,.,
7,12/9/23,Probiotic + oatmeal gel,3,,3.0,
7,12/10/23,Probiotic + oatmeal gel,3,,3.0,
7,12/11/23,Probiotic + oatmeal gel,3,,3.0,
7,12/12/23,Probiotic + oatmeal gel,3,,3.0,
7,12/13/23,Probiotic + oatmeal gel,3,,3.0,
8,12/14/23,Steroid (baseline),3,,3.0,
8,12/15/23,Steroid (baseline),"5, 6",,5.5,
8,12/16/23,Steroid (baseline),3,,3.0,
8,12/17/23,Steroid (baseline),"3, 6",observed consuming diarrhea ,4.5,
8,12/18/23,Steroid (baseline),3,,3.0,
8,12/19/23,Steroid (baseline),3,,3.0,
8,12/20/23,Steroid (baseline),2,,2.0,
9,12/21/23,Steroid (baseline),3,,3.0,
9,12/22/23,Steroid (baseline),3,,3.0,
9,12/23/23,Steroid (baseline),3,,3.0,
9,12/24/23,Steroid (baseline),3,,3.0,
9,12/25/23,Steroid (baseline),3,,3.0,
9,12/26/23,Steroid (baseline),3,,3.0,
9,12/27/23,Steroid (baseline),"3, 5",,4.0,
10,12/28/23,Steroid (baseline),3,,3.0,
10,12/29/23,Steroid (baseline),3,,3.0,
10,12/30/23,Steroid (baseline),"3, 6",,4.5,
10,12/31/23,Steroid (baseline),3,,3.0,
10,1/1/24,Steroid (baseline),3,,3.0,
10,1/2/24,Steroid (baseline),3,,3.0,
10,1/3/24,Steroid (baseline),"3, 6",,4.5,
11,1/4/24,Steroid - higher dosage,3,,3.0,
11,1/5/24,Steroid - higher dosage,3,,3.0,
11,1/6/24,Steroid - higher dosage,6,,6.0,
11,1/7/24,Steroid - higher dosage,3,,3.0,
11,1/8/24,Steroid - higher dosage,3,,3.0,
11,1/9/24,Steroid - higher dosage,3,,3.0,
11,1/10/24,Steroid - higher dosage,3,,3.0,
12,1/11/24,Steroid - higher dosage,3,,3.0,
12,1/12/24,Steroid - higher dosage,3,,3.0,
12,1/13/24,Steroid - higher dosage,3,,3.0,
12,1/14/24,Steroid - higher dosage,3,,3.0,
12,1/15/24,Steroid - higher dosage,3,,3.0,
12,1/16/24,Steroid - higher dosage,0,,.,
12,1/17/24,Steroid - higher dosage,"3, 6",,4.5,
13,1/18/24,Steroid - higher dosage,2,,2.0,
13,1/19/24,Steroid - higher dosage,1,,1.0,
13,1/20/24,Steroid - higher dosage,2,,2.0,
13,1/21/24,Steroid - higher dosage,6,consumed it,6.0,
13,1/22/24,Steroid - higher dosage,6,removing cauliflower and broccoli from diet ,6.0,
13,1/23/24,Steroid - higher dosage,2,,2.0,
13,1/24/24,Steroid - higher dosage,2,,2.0,
