"ID"	"Function"
"fpt1"	"Acetate -- Consumption"
"fpt2"	"Acetate -- Production"
"fpt3"	"Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin) -- Production"
"fpt4"	"Acetone -- Production"
"fpt5"	"Adenine -- Consumption"
"fpt6"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"fpt7"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"fpt8"	"Arabinogalactan -- Macromolecule"
"fpt9"	"beta-Muricholic acid -- Production"
"fpt10"	"Biotin (Vitamin B7) -- Consumption"
"fpt11"	"Butylamine -- Production"
"fpt12"	"Butyrate -- Production"
"fpt13"	"Cellobiose -- Consumption"
"fpt14"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"fpt15"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"fpt16"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Production"
"fpt17"	"Cholic acid (Cholate) -- Consumption"
"fpt18"	"Cholic acid (Cholate) -- Production"
"fpt19"	"Choline -- Consumption"
"fpt20"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"fpt21"	"CO2 -- Consumption"
"fpt22"	"CO2 -- Production"
"fpt23"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"fpt24"	"D-Fructose (Fructose) -- Consumption"
"fpt25"	"D-Galactose -- Consumption"
"fpt26"	"D-Galacturonate -- Consumption"
"fpt27"	"D-Glucosamine (Glucosamine) -- Consumption"
"fpt28"	"D-Glucose (Glucose) -- Consumption"
"fpt29"	"D-Glucuronic acid (D-Glucuronate) -- Consumption"
"fpt30"	"D-Mannitol (Mannitol) -- Consumption"
"fpt31"	"D-Mannose (Mannose) -- Consumption"
"fpt32"	"D-Psicose -- Consumption"
"fpt33"	"D-Ribose (Ribose) -- Consumption"
"fpt34"	"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"
"fpt35"	"D-Xylose (Xylose) -- Consumption"
"fpt36"	"Deoxycholic acid -- Production"
"fpt37"	"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"
"fpt38"	"Dimethylamine -- Production"
"fpt39"	"Ethanol -- Production"
"fpt40"	"Formate -- Consumption"
"fpt41"	"Formate -- Production"
"fpt42"	"FOS (Fructooligosaccharide) -- Consumption"
"fpt43"	"Fructan (Inulin, Levan) -- Macromolecule"
"fpt44"	"Galactan -- Macromolecule"
"fpt45"	"Glycerol -- Consumption"
"fpt46"	"Glycochenodeoxycholate -- Consumption"
"fpt47"	"Glycocholate -- Consumption"
"fpt48"	"Glycodeoxycholate -- Consumption"
"fpt49"	"Glycolithocholate -- Consumption"
"fpt50"	"H2 (Hydrogen) -- Consumption"
"fpt51"	"H2 (Hydrogen) -- Production"
"fpt52"	"H2O2 -- Production"
"fpt53"	"Hemicellulose, not specified -- Macromolecule"
"fpt54"	"Hippurate -- Consumption"
"fpt55"	"Histamine -- Production"
"fpt56"	"Hyaluronan (Hyaluronate, Hyaluronic acid) -- Macromolecule"
"fpt57"	"Indole -- Production"
"fpt58"	"Isobutyrate (2-Methylpropanoic acid) -- Consumption"
"fpt59"	"Isobutyrate (2-Methylpropanoic acid) -- Production"
"fpt60"	"Isovalerate (3-Methylbutanoic acid) -- Consumption"
"fpt61"	"Isovalerate (3-Methylbutanoic acid) -- Production"
"fpt62"	"L-Arabitol (L-Arabinitol, D-Arabitol) -- Consumption"
"fpt63"	"L-Arginine (Arginine) -- Consumption"
"fpt64"	"L-Aspartate (Aspartate, D-Aspartate) -- Consumption"
"fpt65"	"L-Cysteine (Cysteine, D-Cysteine) -- Consumption"
"fpt66"	"L-Fucose -- Consumption"
"fpt67"	"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate) -- Consumption"
"fpt68"	"L-Histidine (Histidine) -- Consumption"
"fpt69"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Consumption"
"fpt70"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"
"fpt71"	"L-Leucine (Leucine) -- Consumption"
"fpt72"	"L-Methionine (D-Methionine) -- Consumption"
"fpt73"	"L-Ornithine (Ornithine) -- Production"
"fpt74"	"L-Phenylalanine (Phenylalanine, D-Phenylalanine) -- Consumption"
"fpt75"	"L-Rhamnose (Rhamnose, D-Rhamnose) -- Consumption"
"fpt76"	"L-Threonine (Threonine) -- Consumption"
"fpt77"	"L-Tryptophan (Tryptophan) -- Consumption"
"fpt78"	"L-Tyrosine (Tyrosine) -- Consumption"
"fpt79"	"L-Valine (Valine, D-Valine) -- Consumption"
"fpt80"	"Lactose -- Consumption"
"fpt81"	"Linoleic acid (Omega-6 fatty acid) -- Consumption"
"fpt82"	"Lithocholic acid -- Production"
"fpt83"	"Maltose -- Consumption"
"fpt84"	"Mannan -- Macromolecule"
"fpt85"	"Melibiose -- Consumption"
"fpt86"	"Menaquinone (Vitamin K2) -- Production"
"fpt87"	"Methylamine (Monomethylamine) -- Production"
"fpt88"	"Mucin (Mucus Glycoprotein) -- Macromolecule"
"fpt89"	"N-Acetyl-D-Glucosamine (N-Acetylglucosamine) -- Consumption"
"fpt90"	"N-Acetylgalactosamine (N-Acetyl-D-galactosamine) -- Consumption"
"fpt91"	"NH3 (Ammonia, NH4+, Ammonium) -- Consumption"
"fpt92"	"NH3 (Ammonia, NH4+, Ammonium) -- Production"
"fpt93"	"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3) -- Consumption"
"fpt94"	"Nitrate (NO3-) -- Consumption"
"fpt95"	"Nitrite (NO2-) -- Consumption"
"fpt96"	"Pantothenic acid (Vitamin B5, Pantothenate) -- Consumption"
"fpt97"	"Pectin -- Macromolecule"
"fpt98"	"Phenylethylamine -- Production"
"fpt99"	"Polypeptide -- Macromolecule"
"fpt100"	"Propanoate (Propionate) -- Consumption"
"fpt101"	"Propanoate (Propionate) -- Production"
"fpt102"	"Propanol (n-propanol, 1-Propanol) -- Production"
"fpt103"	"Putrescine -- Production"
"fpt104"	"Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6) -- Consumption"
"fpt105"	"Pyruvate -- Consumption"
"fpt106"	"Raffinose -- Consumption"
"fpt107"	"Stachyose -- Consumption"
"fpt108"	"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen) -- Macromolecule"
"fpt109"	"Stearic acid (Stearate, Octadecanoate) -- Production"
"fpt110"	"Succinate -- Production"
"fpt111"	"Sucrose -- Consumption"
"fpt112"	"Tauro-b-muricholic acid -- Consumption"
"fpt113"	"Taurochenodeoxycholate -- Consumption"
"fpt114"	"Taurocholate -- Consumption"
"fpt115"	"Taurodeoxycholate -- Consumption"
"fpt116"	"Taurolithocholate -- Consumption"
"fpt117"	"Trehalose -- Consumption"
"fpt118"	"Trimethylamine -- Production"
"fpt119"	"Tyramine -- Production"
"fpt120"	"Urea -- Consumption"
"fpt121"	"Urea -- Production"
"fpt122"	"Valerate (Pentanoic acid, Pentanoate) -- Consumption"
"fpt123"	"XOS (Xylooligosaccharide) -- Consumption"
"fpt124"	"Xylan -- Macromolecule"
