flow_cell_id,experiment_id,kit,barcode,alias
FAX08980,hdz1,SQK-16S114-24,barcode08,HDZ-013-S8
FAX08980,hdz1,SQK-16S114-24,barcode18,HDZ-014-S18
FAX08980,hdz1,SQK-16S114-24,barcode11,HDZ-005-S11
FAX08980,hdz1,SQK-16S114-24,barcode07,HDZ-021-S7
FAX08980,hdz1,SQK-16S114-24,barcode03,HDZ-004-S3
FAX08980,hdz1,SQK-16S114-24,barcode10,HDZ-011-S10
FAX08980,hdz1,SQK-16S114-24,barcode13,HDZ-019-S13
FAX08980,hdz1,SQK-16S114-24,barcode23,HDZ-010-S23
FAX08980,hdz1,SQK-16S114-24,barcode17,HDZ-025-S17
FAX08980,hdz1,SQK-16S114-24,barcode21,HDZ-016-S21
FAX08980,hdz1,SQK-16S114-24,barcode15,HDZ-026-S15
FAX08980,hdz1,SQK-16S114-24,barcode19,HDZ-024-S19
FAX08980,hdz1,SQK-16S114-24,barcode14,HDZ-029-S14
FAX08980,hdz1,SQK-16S114-24,barcode20,HDZ-023-S20
FAX08980,hdz1,SQK-16S114-24,barcode12,HDZ-020-S12
FAX08980,hdz1,SQK-16S114-24,barcode16,HDZ-028-S16
FAX08980,hdz1,SQK-16S114-24,barcode06,HDZ-030-S6
FAX08980,hdz1,SQK-16S114-24,barcode02,HDZ-064-S2
FAX08980,hdz1,SQK-16S114-24,barcode01,HDZ-063-S1
FAX08980,hdz1,SQK-16S114-24,barcode09,HDZ-067-S9
FAX08980,hdz1,SQK-16S114-24,barcode05,HDZ-066-S5
FAX08980,hdz1,SQK-16S114-24,barcode04,HDZ-065-S4
FAX08980,hdz1,SQK-16S114-24,barcode22,HDZ-055-S22
